Release Date,Season,Episode,Episode Title,Name,Sentence
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,guard,"You want your father, boy? He's lying on the floor of some tavern, getting pissed on by his friends."
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",daenerys targaryen,I hit him. I hit the dragon.
2011-04-24,Season 1,Episode 2,The Kingsroad,eddard stark,"Gladly, your Grace."
2011-06-19,Season 1,Episode 10,Fire and Blood,osha,l'm not afraid of some hole in the ground.
2011-05-22,Season 1,Episode 6,A Golden Crown,robert baratheon,Hold your tongue.
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,theon greyjoy,Gold for the farmer. For his trouble.
2012-04-22,Season 2,Episode 4,Garden of Bones,joffrey lannister,"What are you doing here, dog?"
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,theon greyjoy,Father.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,reginald,My wife's in Lannisport.
2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,What?
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,anguy,Spotted a Lannister raiding party.
2013-05-05,Season 3,Episode 6,The Climb,sansa stark,"You're right. It's not my wedding. Anyway, from what I can tell, the dressmakers in Highgarden will be far superior to the ones in King's Landing. They'd never make me anything as dull as this for my wedding. Loras likes green and gold brocade."
2013-04-28,Season 3,Episode 5,Kissed by Fire,daenerys targaryen,"From this day forward you will choose your own names. You will tell your fellow soldiers to do the same. Throw away your slave name. Choose the name your parents gave you, or any other. A name that gives you pride."
2013-05-19,Season 3,Episode 8,Second Sons,sansa stark,What?
2013-06-09,Season 3,Episode 10,Mhysa,davos,"Oh, that's a long story."
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,ed,Oil on the ramp!
2014-05-18,Season 4,Episode 7,Mockingbird,melisandre,That's because most jokes are lies and you're devoted to the truth.
2014-04-27,Season 4,Episode 4,Oathkeeper,tanner,"You should shuty our fucking hole, ugly little cunt. You look likea fucking ballsack. Ugly. Look at your stupid cunt face. I could piss in any gutte rand soak five of you. Know how much they paid me to kill a man in King's Landing? Seven silvers. They told me a man's name and that man never saw daylight again. None of them cocksuckers got away from me."
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,hizdahr,"My father, one of Meereen's most respected and beloved citizens, oversaw the restoration and maintenance of its greatest landmarks. This pyramid included."
2014-04-06,Season 4,Episode 1,Two Swords,olyvar,Can't say I have. I'm wildly expensive.
2015-04-12,Season 5,Episode 1,The Wars to Come,melara,Are you sure?
2015-05-03,Season 5,Episode 4,Sons of the Harpy,sam,"Apologies, my Lady."
2015-04-12,Season 5,Episode 1,The Wars to Come,melisandre,Are you a virgin?
2015-04-26,Season 5,Episode 3,High Sparrow,man,Just a little more...
2015-04-19,Season 5,Episode 2,The House of Black and White,old man,No one here by that name.
2016-06-12,Season 6,Episode 8,No One,man,So fucking close!
2016-05-15,Season 6,Episode 4,Book of the Stranger,jon snow,There's nothing to forgive
2016-06-05,Season 6,Episode 7,The Broken Man,lothar,"Come out and fight us, Blackfish. Yield the castle or we'll hang him."
2016-05-29,Season 6,Episode 6,Blood of My Blood,tommen lannister,Is there no other way?
2016-06-12,Season 6,Episode 8,No One,edmure,"Oh, good. Good, that's- - that's a fine thing. My uncle will never surrender the castle, ser. Whatever game you're playing."
2017-08-13,Season 7,Episode 5,Eastwatch,varys,"It's what I told myself when I watched them beg for mercy, ""I'm not the one doing it."" As the pitch of their screams rose higher, ""I'm not the one doing it."" When their hair caught fire and the smell of the burning flesh filled the Thone Room, ""I'm not the one doing it."""
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,bran stark,Are you certain?
2017-08-20,Season 7,Episode 6,Beyond the Wall,beric,We're fighting a great war. Wars cost money.
2017-08-20,Season 7,Episode 6,Beyond the Wall,thoros,"Are you still mad at us, boy?"
2017-07-30,Season 7,Episode 3,The Queenâ€™s Justice,jon snow,It's hard for me to fathom. It really is. If someone told me about the White Walkers and the Night King --
2019-05-12,Season 8,Episode 5,The Bells,soldier,Ay up. Where you going?
2019-04-21,Season 8,Episode 2,A Knight of the Seven Kingdoms,tormund,Fuck tradition.
2019-04-21,Season 8,Episode 2,A Knight of the Seven Kingdoms,arya stark,Why your blood?
2019-05-12,Season 8,Episode 5,The Bells,varys,And?
2019-04-28,Season 8,Episode 3,The Long Night,tyrion lannister,"Come on! Come on! No! No, no, no!"
